LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,79,19.8%,55,13.8%,134,33.5%,ELEMENTARY,COUNTY,,,,,,,
000055,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,54,20.7%,50,19.2%,104,39.8%,MIDDLE/HIGH,COUNTY,,,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,316,17.2%,395,21.4%,711,38.6%,DISTRICT TOTAL,COUNTY,,,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,154,17.4%,181,20.5%,335,37.9%,ELEMENTARY,COUNTY,,,,,,,
000056,SENECA,SENECA,FINGER LAKES,2012-2014,105,17.4%,153,25.3%,258,42.7%,MIDDLE/HIGH,COUNTY,,,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,814,17.2%,903,19.1%,1717,36.2%,DISTRICT TOTAL,COUNTY,,,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,465,16.5%,491,17.4%,956,33.9%,ELEMENTARY,COUNTY,,,,,,,
000057,STEUBEN,STEUBEN,FINGER LAKES,2012-2014,334,17.9%,403,21.6%,737,39.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,13625,17.2%,14353,18.1%,27978,35.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,7832,16.7%,8678,18.6%,16510,35.3%,ELEMENTARY,COUNTY,,,,,,,
000058,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,5790,17.8%,5740,17.6%,11530,35.4%,MIDDLE/HIGH,COUNTY,,,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,606,17.4%,739,21.2%,1345,38.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,359,16.1%,452,20.3%,811,36.4%,ELEMENTARY,COUNTY,,,,,,,
000059,SULLIVAN,SULLIVAN,HUDSON VALLEY,2012-2014,241,20.5%,278,23.7%,519,44.2%,MIDDLE/HIGH,COUNTY,,,,,,,
000060,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,419,18.2%,438,19.1%,857,37.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000060,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,252,18.5%,244,17.9%,496,36.4%,ELEMENTARY,COUNTY,,,,,,,
000060,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,163,17.7%,194,21%,357,38.7%,MIDDLE/HIGH,COUNTY,,,,,,,
000061,TOMPKINS,TOMPKINS,CENTRAL NEW YORK,2012-2014,507,15.1%,502,14.9%,1009,30%,DISTRICT TOTAL,COUNTY,,,,,,,
000061,TOMPKINS,TOMPKINS,CENTRAL NEW YORK,2012-2014,306,14.2%,347,16.2%,653,30.4%,ELEMENTARY,COUNTY,,,,,,,
000061,TOMPKINS,TOMPKINS,CENTRAL NEW YORK,2012-2014,201,15.7%,219,17.1%,420,32.7%,MIDDLE/HIGH,COUNTY,,,,,,,
000062,ULSTER,ULSTER,HUDSON VALLEY,2012-2014,1380,17.3%,1528,19.2%,2908,36.6%,DISTRICT TOTAL,COUNTY,,,,,,,
000062,ULSTER,ULSTER,HUDSON VALLEY,2012-2014,786,17%,839,18.2%,1625,35.2%,ELEMENTARY,COUNTY,,,,,,,
000062,ULSTER,ULSTER,HUDSON VALLEY,2012-2014,594,17.8%,696,20.9%,1290,38.8%,MIDDLE/HIGH,COUNTY,,,,,,,
000063,WARREN,WARREN,NORTHEASTERN NEW YORK,2012-2014,528,16.8%,559,17.8%,1087,34.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000063,WARREN,WARREN,NORTHEASTERN NEW YORK,2012-2014,301,17.3%,293,16.8%,594,34.1%,ELEMENTARY,COUNTY,,,,,,,
000063,WARREN,WARREN,NORTHEASTERN NEW YORK,2012-2014,225,16.4%,256,18.7%,481,35.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000064,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2012-2014,442,18.4%,476,19.8%,918,38.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000064,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2012-2014,240,17.4%,251,18.2%,491,35.6%,ELEMENTARY,COUNTY,,,,,,,
000064,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2012-2014,172,17.8%,217,22.4%,389,40.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000065,WAYNE,WAYNE,FINGER LAKES,2012-2014,850,17.7%,898,18.7%,1748,36.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000065,WAYNE,WAYNE,FINGER LAKES,2012-2014,437,15.8%,491,17.8%,928,33.6%,ELEMENTARY,COUNTY,,,,,,,
000065,WAYNE,WAYNE,FINGER LAKES,2012-2014,346,19%,393,21.6%,739,40.6%,MIDDLE/HIGH,COUNTY,,,,,,,
000066,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2012-2014,6083,14.6%,5708,13.7%,11791,28.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000066,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2012-2014,3560,14.1%,3599,14.3%,7159,28.4%,ELEMENTARY,COUNTY,,,,,,,
000066,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2012-2014,2469,15.2%,2161,13.3%,4630,28.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000067,WYOMING,WYOMING,WESTERN NEW YORK,2012-2014,212,15.9%,252,18.9%,464,34.7%,DISTRICT TOTAL,COUNTY,,,,,,,
000067,WYOMING,WYOMING,WESTERN NEW YORK,2012-2014,126,15.8%,134,16.8%,260,32.5%,ELEMENTARY,COUNTY,,,,,,,
000067,WYOMING,WYOMING,WESTERN NEW YORK,2012-2014,81,15.2%,119,22.3%,200,37.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000068,YATES,YATES,FINGER LAKES,2012-2014,127,16.3%,178,22.9%,305,39.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000068,YATES,YATES,FINGER LAKES,2012-2014,69,16.7%,92,22.2%,161,38.9%,ELEMENTARY,COUNTY,,,,,,,
000068,YATES,YATES,FINGER LAKES,2012-2014,59,16.2%,86,23.6%,145,39.8%,MIDDLE/HIGH,COUNTY,,,,,,,
010100,ALBANY,ALBANY CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,277,16%,313,18.1%,590,34.1%,DISTRICT TOTAL,SCHOOL DISTRICT,ACADEMY PARK,ALBANY,,12207,,,"(42.652509, -73.750149)"
010100,ALBANY,ALBANY CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,223,16%,239,17.1%,462,33.1%,ELEMENTARY,SCHOOL DISTRICT,ACADEMY PARK,ALBANY,,12207,,,"(42.652509, -73.750149)"
010100,ALBANY,ALBANY CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,54,16.2%,74,22.2%,128,38.3%,MIDDLE/HIGH,SCHOOL DISTRICT,ACADEMY PARK,ALBANY,,12207,,,"(42.652509, -73.750149)"
010201,ALBANY,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,36,12.4%,46,15.9%,82,28.3%,DISTRICT TOTAL,SCHOOL DISTRICT,1738 HELDERBERG TRAIL,BERNE,,12023,,,"(42.607815, -74.162659)"
010201,ALBANY,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,17,11.7%,22,15.2%,39,26.9%,ELEMENTARY,SCHOOL DISTRICT,1738 HELDERBERG TRAIL,BERNE,,12023,,,"(42.607815, -74.162659)"
010201,ALBANY,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,19,13.1%,24,16.6%,43,29.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1738 HELDERBERG TRAIL,BERNE,,12023,,,"(42.607815, -74.162659)"
010306,ALBANY,BETHLEHEM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,216,13.9%,200,12.8%,416,26.7%,DISTRICT TOTAL,SCHOOL DISTRICT,700 DELAWARE AVE,DELMAR,,12054,,,"(42.612026, -73.848428)"
010306,ALBANY,BETHLEHEM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,121,14.3%,106,12.6%,227,26.9%,ELEMENTARY,SCHOOL DISTRICT,700 DELAWARE AVE,DELMAR,,12054,,,"(42.612026, -73.848428)"
010306,ALBANY,BETHLEHEM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,95,13.3%,94,13.1%,189,26.4%,MIDDLE/HIGH,SCHOOL DISTRICT,700 DELAWARE AVE,DELMAR,,12054,,,"(42.612026, -73.848428)"
010402,ALBANY,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,124,18.5%,139,20.8%,263,39.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 100,RAVENA,,12143,,,"(42.480638, -73.839111)"
010402,ALBANY,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,74,19.2%,72,18.7%,146,37.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 100,RAVENA,,12143,,,"(42.480638, -73.839111)"
010402,ALBANY,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,50,17.6%,67,23.6%,117,41.2%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 100,RAVENA,,12143,,,"(42.480638, -73.839111)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,84,17.2%,124,25.4%,208,42.5%,DISTRICT TOTAL,SCHOOL DISTRICT,7 BEVAN ST,COHOES,,12047,,,"(42.778683, -73.719474)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,58,16.1%,89,24.7%,147,40.8%,ELEMENTARY,SCHOOL DISTRICT,7 BEVAN ST,COHOES,,12047,,,"(42.778683, -73.719474)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,26,20.2%,35,27.1%,61,47.3%,MIDDLE/HIGH,SCHOOL DISTRICT,7 BEVAN ST,COHOES,,12047,,,"(42.778683, -73.719474)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,231,15.9%,262,18.1%,493,34%,DISTRICT TOTAL,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,,12205,,,"(42.712719, -73.824203)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,145,17.4%,169,20.3%,314,37.8%,ELEMENTARY,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,,12205,,,"(42.712719, -73.824203)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,86,13.9%,95,15.3%,181,29.2%,MIDDLE/HIGH,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,,12205,,,"(42.712719, -73.824203)"
010615,ALBANY,MENANDS UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,16,22.9%,11,15.7%,27,38.6%,DISTRICT TOTAL,SCHOOL DISTRICT,19 WARDS LN,MENANDS,,12204,,,"(42.684133, -73.734184)"
010615,ALBANY,MENANDS UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,11,23.4%,,,11,23.4%,ELEMENTARY,SCHOOL DISTRICT,19 WARDS LN,MENANDS,,12204,,,"(42.684133, -73.734184)"
010615,ALBANY,MENANDS UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,19 WARDS LN,MENANDS,,12204,,,"(42.684133, -73.734184)"
010623,ALBANY,NORTH COLONIE CSD,NORTHEASTERN NEW YORK,2012-2014,237,16.3%,225,15.5%,462,31.8%,DISTRICT TOTAL,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,,12110,,,"(42.750728, -73.770061)"
010623,ALBANY,NORTH COLONIE CSD,NORTHEASTERN NEW YORK,2012-2014,94,15.5%,78,12.9%,172,28.4%,ELEMENTARY,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,,12110,,,"(42.750728, -73.770061)"
010623,ALBANY,NORTH COLONIE CSD,NORTHEASTERN NEW YORK,2012-2014,143,16.9%,147,17.3%,290,34.2%,MIDDLE/HIGH,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,,12110,,,"(42.750728, -73.770061)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,12,17.6%,19,27.9%,31,45.6%,DISTRICT TOTAL,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,,12183,,,"(42.743689, -73.693439)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,15,35.7%,15,35.7%,ELEMENTARY,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,,12183,,,"(42.743689, -73.693439)"
010701,ALBANY,GREEN ISLAND UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,,12183,,,"(42.743689, -73.693439)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,192,13%,193,13.1%,385,26.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 18,GUILDERLAND CENTER,,12085,,,"(42.704694, -73.966106)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,103,12.6%,113,13.8%,216,26.4%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 18,GUILDERLAND CENTER,,12085,,,"(42.704694, -73.966106)"
010802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,89,13.6%,80,12.2%,169,25.8%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 18,GUILDERLAND CENTER,,12085,,,"(42.704694, -73.966106)"
011003,ALBANY,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,44,14.1%,32,10.2%,76,24.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 498,VOORHEESVILLE,,12186,,,"(42.634962, -73.965431)"
011003,ALBANY,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,23,16.3%,15,10.6%,38,27%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 498,VOORHEESVILLE,,12186,,,"(42.634962, -73.965431)"
011003,ALBANY,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,21,12.2%,17,9.9%,38,22.1%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 498,VOORHEESVILLE,,12186,,,"(42.634962, -73.965431)"
011200,ALBANY,WATERVLIET CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,84,19.6%,137,31.9%,221,51.5%,DISTRICT TOTAL,SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,,12189,,,"(42.732068, -73.712974)"
011200,ALBANY,WATERVLIET CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,46,17%,69,25.6%,115,42.6%,ELEMENTARY,SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,,12189,,,"(42.732068, -73.712974)"
011200,ALBANY,WATERVLIET CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,15,16.1%,23,24.7%,38,40.9%,MIDDLE/HIGH,SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,,12189,,,"(42.732068, -73.712974)"
020101,ALLEGANY,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,35,21.1%,25,15.1%,60,36.1%,DISTRICT TOTAL,SCHOOL DISTRICT,6795 RT 21,ALMOND,,14804,,,"(42.314959, -77.84205)"
020101,ALLEGANY,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,21,21.9%,9,9.4%,30,31.3%,ELEMENTARY,SCHOOL DISTRICT,6795 RT 21,ALMOND,,14804,,,"(42.314959, -77.84205)"
020101,ALLEGANY,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,14,20.9%,13,19.4%,27,40.3%,MIDDLE/HIGH,SCHOOL DISTRICT,6795 RT 21,ALMOND,,14804,,,"(42.314959, -77.84205)"
020601,ALLEGANY,ANDOVER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,22,17.3%,24,18.9%,46,36.2%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX G,ANDOVER,,14806,,,"(42.155039, -77.780137)"
020601,ALLEGANY,ANDOVER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,13,18.8%,5,7.2%,18,26.1%,ELEMENTARY,SCHOOL DISTRICT,PO BOX G,ANDOVER,,14806,,,"(42.155039, -77.780137)"
020601,ALLEGANY,ANDOVER CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,12,24.5%,14,28.6%,26,53.1%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX G,ANDOVER,,14806,,,"(42.155039, -77.780137)"
020702,ALLEGANY,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,42,16.5%,69,27.2%,111,43.7%,DISTRICT TOTAL,SCHOOL DISTRICT,1 JAGUAR DR,BELMONT,,14813,,,"(42.242569, -77.99246)"
020702,ALLEGANY,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,28,15.8%,52,29.4%,80,45.2%,ELEMENTARY,SCHOOL DISTRICT,1 JAGUAR DR,BELMONT,,14813,,,"(42.242569, -77.99246)"
020702,ALLEGANY,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,14,18.2%,17,22.1%,31,40.3%,MIDDLE/HIGH,SCHOOL DISTRICT,1 JAGUAR DR,BELMONT,,14813,,,"(42.242569, -77.99246)"
020801,ALLEGANY,BELFAST CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,13,9.5%,28,20.4%,41,29.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 336,BELFAST,,14711,,,"(42.324885, -78.113089)"
020801,ALLEGANY,BELFAST CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,5,5.5%,16,17.6%,21,23.1%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 336,BELFAST,,14711,,,"(42.324885, -78.113089)"
020801,ALLEGANY,BELFAST CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,12,37.5%,12,37.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 336,BELFAST,,14711,,,"(42.324885, -78.113089)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,7,14.3%,15,30.6%,22,44.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 230,CANASERAGA,,14822,,,"(42.432818, -77.84141)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 230,CANASERAGA,,14822,,,"(42.432818, -77.84141)"
021102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,5,38.5%,5,38.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 230,CANASERAGA,,14822,,,"(42.432818, -77.84141)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,27,17.5%,29,18.8%,56,36.4%,DISTRICT TOTAL,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,,14739,,,"(42.19276, -78.146956)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,24,21.4%,15,13.4%,39,34.8%,ELEMENTARY,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,,14739,,,"(42.19276, -78.146956)"
021601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,5,19.2%,5,19.2%,MIDDLE/HIGH,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,,14739,,,"(42.19276, -78.146956)"
022001,ALLEGANY,FILLMORE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,5,2.1%,,,5,2.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 177,FILLMORE,,14735,,,"(42.453883, -78.096725)"
022001,ALLEGANY,FILLMORE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 177,FILLMORE,,14735,,,"(42.453883, -78.096725)"
022001,ALLEGANY,FILLMORE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 177,FILLMORE,,14735,,,"(42.453883, -78.096725)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,16,20.8%,14,18.2%,30,39%,DISTRICT TOTAL,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,,14897,,,"(42.032346, -77.793069)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,8,22.2%,5,13.9%,13,36.1%,ELEMENTARY,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,,14897,,,"(42.032346, -77.793069)"
022101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,8,33.3%,,,8,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,,14897,,,"(42.032346, -77.793069)"
022302,ALLEGANY,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,49,17%,42,14.6%,91,31.6%,DISTRICT TOTAL,SCHOOL DISTRICT,5476 RT 305 N,CUBA,,14727,,,"(42.211431, -78.291237)"
022302,ALLEGANY,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,29,17.9%,24,14.8%,53,32.7%,ELEMENTARY,SCHOOL DISTRICT,5476 RT 305 N,CUBA,,14727,,,"(42.211431, -78.291237)"
022302,ALLEGANY,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,20,15.9%,18,14.3%,38,30.2%,MIDDLE/HIGH,SCHOOL DISTRICT,5476 RT 305 N,CUBA,,14727,,,"(42.211431, -78.291237)"
022401,ALLEGANY,SCIO CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,21,15.3%,34,24.8%,55,40.1%,DISTRICT TOTAL,SCHOOL DISTRICT,3968 WASHINGTON ST,SCIO,,14880,,,"(42.171925, -77.984339)"
022401,ALLEGANY,SCIO CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,17,17.9%,19,20%,36,37.9%,ELEMENTARY,SCHOOL DISTRICT,3968 WASHINGTON ST,SCIO,,14880,,,"(42.171925, -77.984339)"
022401,ALLEGANY,SCIO CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,15,41.7%,15,41.7%,MIDDLE/HIGH,SCHOOL DISTRICT,3968 WASHINGTON ST,SCIO,,14880,,,"(42.171925, -77.984339)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,72,16.3%,84,19%,156,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,126 W STATE ST,WELLSVILLE,,14895,,,"(42.085934, -77.934301)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,43,15.8%,44,16.1%,87,31.9%,ELEMENTARY,SCHOOL DISTRICT,126 W STATE ST,WELLSVILLE,,14895,,,"(42.085934, -77.934301)"
022601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,29,18%,40,24.8%,69,42.9%,MIDDLE/HIGH,SCHOOL DISTRICT,126 W STATE ST,WELLSVILLE,,14895,,,"(42.085934, -77.934301)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,59,16.6%,52,14.6%,111,31.3%,DISTRICT TOTAL,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,,14715,,,"(42.076583, -78.147117)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,26,11.6%,31,13.8%,57,25.4%,ELEMENTARY,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,,14715,,,"(42.076583, -78.147117)"
022902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,33,25.6%,19,14.7%,52,40.3%,MIDDLE/HIGH,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,,14715,,,"(42.076583, -78.147117)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2014,83,14.3%,116,20%,199,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,,13901,,,"(42.1586, -75.884165)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2014,51,15%,61,17.9%,112,32.8%,ELEMENTARY,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,,13901,,,"(42.1586, -75.884165)"
030101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2014,32,13.8%,55,23.7%,87,37.5%,MIDDLE/HIGH,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,,13901,,,"(42.1586, -75.884165)"
030200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2014,383,19.6%,440,22.5%,823,42.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 2126,BINGHAMTON,,13901,,,"(42.1586, -75.884165)"
